id;tipo;subtipo;torre;apto_tit;tipo_tit;area_ac;area_ap;img_planta;atributos;habitaciones;banos;piso;valor
torre1_apto101;2;2;1;101;Tipo 2;84.24;74.52;plantas/sole-apto-2.jpg;Cocina abierta, Balcón, Estudio;3;3;1;300000000
torre1_apto102;1;1A;1;102;Tipo 1;106.52;93.72;plantas/sole-apto-1A.jpg;Cocina abierta, Balcón, Estudio;3;3;1;300100000
torre1_apto103;1;1;1;103;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;1;300200000
torre1_apto104;2;2A;1;104;Tipo 2;96.78;85.83;plantas/sole-apto-2A.jpg;Cocina abierta, Balcón, Estudio;3;3;1;300300000
torre1_apto105;3;3;1;105;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;1;300400000
torre1_apto106;3;3;1;106;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;1;300500000
torre1_apto201;2;2B;1;201;Tipo 2;96.78;85.65;plantas/sole-apto-2B.jpg;Cocina abierta, Balcón, Estudio;3;3;2;300600000
torre1_apto202;1;1;1;202;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;2;300700000
torre1_apto203;1;1;1;203;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;2;300800000
torre1_apto204;2;2A;1;204;Tipo 2;96.78;85.83;plantas/sole-apto-2A.jpg;Cocina abierta, Balcón, Estudio;3;3;2;300900000
torre1_apto205;3;3;1;205;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;2;301000000
torre1_apto206;3;3;1;206;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;2;301100000
torre1_apto301;2;2;1;301;Tipo 2;96.78;85.83;plantas/sole-apto-2.jpg;Cocina abierta, Balcón, Estudio;3;3;3;301200000
torre1_apto302;1;1;1;302;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;3;301300000
torre1_apto303;1;1;1;303;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;3;301400000
torre1_apto304;2;2A;1;304;Tipo 2;96.78;85.83;plantas/sole-apto-2A.jpg;Cocina abierta, Balcón, Estudio;3;3;3;301500000
torre1_apto305;3;3;1;305;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;3;301600000
torre1_apto306;3;3;1;306;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;3;301700000
torre1_apto401;2;2;1;401;Tipo 2;96.78;85.83;plantas/sole-apto-2.jpg;Cocina abierta, Balcón, Estudio;3;3;4;301800000
torre1_apto402;1;1;1;402;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;4;301900000
torre1_apto403;1;1;1;403;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;4;302000000
torre1_apto404;2;2A;1;404;Tipo 2;96.78;85.83;plantas/sole-apto-2A.jpg;Cocina abierta, Balcón, Estudio;3;3;4;302100000
torre1_apto405;3;3;1;405;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;4;302200000
torre1_apto406;3;3;1;406;Tipo 3;86.59;76.66;plantas/sole-apto-3.jpg;Cocina abierta, Balcón, Estudio;3;2;4;302300000
torre1_apto501;2;2;1;501;Tipo 2;96.78;85.83;plantas/sole-apto-2.jpg;Cocina abierta, Balcón, Estudio;3;3;5;302400000
torre1_apto502;1;1;1;502;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;5;302500000
torre1_apto503;1;1;1;503;Tipo 1;106.52;93.72;plantas/sole-apto-1.jpg;Cocina abierta, Balcón, Estudio;3;3;5;302600000
torre1_apto504;2;2A;1;504;Tipo 2;96.78;85.83;plantas/sole-apto-2A.jpg;Cocina abierta, Balcón, Estudio;3;3;5;302700000
